date,stock_id,stock_name,market,收盤價,股數(萬張),市值(百萬),前0月董監持股,前1月董監持股,前2月董監持股,前3月董監持股,前4月董監持股,前5月董監持股,前1周<400張比例,前1周>1000張比例,前2周<400張比例,前2周>1000張比例,前3周<400張比例,前3周>1000張比例,前4周<400張比例,前4周>1000張比例,散戶近一月增加比,大戶近一月增加比,大戶近一周增加比,本益比,股價淨值比,殖利率(%),股利年度,本年累計營收年增率,最新單月營收年增率,最新單月營收月增率,備註,2019EPS,2018EPS,2017EPS,2019營收(百萬),2018營收(百萬),2017營收(百萬),psrS,去年營收年增率,psr高-1,psr低-1,psr高-2,psr低-2,psr高-3,psr低-3,psr三年最高,psr三年最低,psrs/psr三年最低-1,psrs/psr三年最高,本季EPS,前1季EPS,前2季EPS,前3季EPS,前4季EPS,前5季EPS,前6季EPS,前7季EPS,本季毛利率,前1季毛利率,前2季毛利率,前3季毛利率,前4季毛利率,前5季毛利率,前6季毛利率,前7季毛利率,本季營利率,前1季營利率,前2季營利率,前3季營利率,前4季營利率,前5季營利率,前6季營利率,前7季營利率,本季淨利率,前1季淨利率,前2季淨利率,前3季淨利率,前4季淨利率,前5季淨利率,前6季淨利率,前7季淨利率,近一季毛利率升降(年),近一季營利率升降(年),近一季淨利率升降(年),近一季毛利率升降(季),近一季營利率升降(季),近一季淨利率升降(季),prr,分數:psrs/psr(3)-1,分數:淨值比,分數:psrs,分數:prr,分數:毛利率,分數:營利率年增,分數:營收年增20%,分數:營收月增80%,分數:peg,總分
2020-04-16 00:00:00,4554,橙的,otc,17.7,2.13749,378.33573,9090,9090,9090,9090,9090,9090,0.4937823802684457,0.3425747021038695,0.4937823802684457,0.3425747021038695,0.4937823802684457,0.3425747021038695,0.4937823802684457,0.3425747021038695,0.0,0.0,0.0,70.8,0.98,0.56,108.0,20.3,36.0,52.0,-,0.25,-1.09,-1.62,346.766,374.339,483.077,0.906933035958347,-22.509455014417988,2.0587994786109367,0.8937901928101373,1.8529074047855023,0.8793458870168485,2.6194459268398207,1.159281812216272,2.6194459268398207,0.8793458870168485,0.03137235227776758,0.34623086762951377,0.0,0.23,0.26,-0.24,-0.8,-0.47,0.29,-0.11,36.946037816018695,40.14316283414618,40.256342634105174,33.34600413574991,32.83558895826859,34.897257657932926,36.48065500607095,34.596320327693924,3.5032929679201192,8.709253446009797,6.432828735692811,-11.155881279649678,-28.13268160370695,-19.563058589870906,3.629442457257244,-3.293289503123763,-0.07754408328022094,5.018302684031587,5.983437945039295,-8.029740907432185,-23.467917384793605,-16.253914903368727,4.953565451383192,-1.6160955544464142,4.110448857750107,31.635974571627067,23.390373301513385,-3.197125018127487,-5.205960478089677,-5.095846767311808,6.8788314545454545,0.33725529544446486,0.6400000000000001,1.5815119041110748,1.0828224727272726,0.46306918773457967,2.0,0.757023637536045,1.3,2.0,10.161682497553437
2020-04-16 00:00:00,2596,綠意,otc,17.5,10.0,1750.0,51128,51128,51128,50989,50989,50989,0.31832883,0.59731938,0.31772883,0.59731938,0.31796883,0.59731938,0.31782883,0.59731938,0.15731738369989923,0.0,0.0,42.68,0.91,11.43,107.0,4201.21,51333.7,2288700.0,"本公司「綠意仙跡」建案完工交屋,故109年3月單月營收較108年同期增加。",0.41,3.64,2.72,331.82,1164.271,1220.023,0.12261535020187476,-4.569749914550791,7.4739316496895905,6.027364233620638,2.3061641147121246,1.4257848902875707,1.8442275268581003,1.3032541189797242,7.4739316496895905,1.3032541189797242,-0.9059160079249422,0.01640573609031697,0.8899999999999999,-0.12,-0.21,-0.15,-0.04999999999999982,-0.1200000000000001,1.63,2.18,34.146801781371096,63.77183967112025,100.0,67.85379568884724,48.5983566940551,41.36758864994454,39.301277975300245,47.13990314657852,28.714715793382872,-673.5868448098664,-4884.45945945946,-1469.5407685098405,-48.658772353794106,-13.07474863133789,31.855168769758464,39.354583617559,28.42888061586979,-655.6526207605344,-7891.891891891892,-1469.4470477975633,-34.84775253745771,-11.096003148817404,32.57162303758698,38.10464372794839,-14.451554912684003,77.37348814717697,63.276633153327495,-29.62503788974915,702.3015606032493,684.0815013764043,0.0,2.2118320158498843,0.78,3.6730257327950007,-2.0,0.27645345209140637,2.0,2.0,2.0,-2.0,8.94131120073629
2020-04-16 00:00:00,3323,加百裕,otc,26.3,8.3305914,2190.9455381999996,9110,9110,9110,9164,9257,9397,0.7245990602780014,0.1943262635591514,0.7379594562758174,0.17251689958050276,0.7447758870996842,0.17372929849854357,0.7501656605076081,0.17342919975645427,-3.4081272411625507,12.04933415597994,12.641871046651623,14.22,0.98,3.8,108.0,9.49,27.18,86.29,-,1.85,2.39,2.24,9193.737,9377.305,7529.429,0.2176531968616433,24.542046946720664,0.3307323084182199,0.2401207170707624,0.42331211388559925,0.25052259415684996,0.5974582343495104,0.19362072409474873,0.5974582343495104,0.19362072409474873,0.12412138669171702,0.36429859753898236,0.43000000000000016,1.1199999999999999,0.9199999999999999,-0.62,0.22999999999999998,0.6700000000000002,1.33,0.16,10.929682261835042,11.593293078346587,10.548062838658836,4.201183363290674,8.494319385655565,9.995776583883014,11.747800613269193,7.335770123694872,2.933902565951428,4.421320129577172,3.549328702694627,-4.504334627939117,0.8991648685794804,2.834583363151862,4.605657456015376,0.41223002528523484,1.2645822355702958,3.2730964681107144,3.1981794581289336,-2.7136244591143224,0.9356759188435971,1.815920610159411,4.724279794426658,0.8743270030582305,2.435362876179477,2.0347376973719475,0.3289063167266987,-0.6636108165115449,-1.4874175636257436,-2.008514232540419,10.687539210731705,0.151757226616566,0.6400000000000001,3.419591475035618,0.5749947719024393,-1.271354515877664,0.813895078948779,0.39186988263319833,2.0,2.0,8.720753919258936
2020-04-16 00:00:00,3666,光耀,otc,14.95,4.82996,722.0790199999999,22700,22700,22700,22742,22859,22967,0.47093530795286087,0.45727956339182935,0.4713286859518505,0.45727956339182935,0.4747862715219174,0.45727956339182935,0.47522105773132695,0.45727956339182935,-0.9018434071347664,0.0,0.0,,0.98,0.0,108.0,35.2,43.49,89.23,-,-0.4,-1.84,1.37,1367.166,1304.486,1344.231,0.39064906191685234,-2.9567090775320493,0.7524920017027925,0.4892964424217688,1.0071009731035825,0.46097084982130887,1.318668681201371,0.767127420807882,1.318668681201371,0.46097084982130887,-0.15255148548268538,0.29624504432830856,0.13,0.20999999999999996,-0.22999999999999998,-0.51,-0.4600000000000002,-0.2599999999999998,-0.6700000000000002,-0.45,13.135589034329465,13.846439522827303,9.596580398134092,0.43342536104794116,4.533265574466091,11.85098669740774,1.760379082335816,2.6349617001950474,3.2128920721165724,4.68716280983855,-1.3643990191077322,-13.710171440079888,-5.941153397358884,-0.41803813308659576,-11.527323969834463,-9.959976805200178,-0.8602123981229934,4.1383740596315315,-7.4356673570607645,-2.382370958402914,-6.252235672576655,-5.152365495168898,-23.748393390835744,-16.90544064037112,8.602323459863374,9.154045469475456,5.392023274453662,-0.7108504884978384,-1.4742707377219775,-4.998586457754525,21.88118242424242,0.7051029709653708,0.6400000000000001,2.9582691682217273,-2.0,-1.1242940643780357,2.0,0.9326417726938302,2.0,2.0,8.111719847502894
2020-04-16 00:00:00,6126,信音,otc,13.6,13.1839587,1793.0183832,23981,23981,23981,23895,23863,23775,0.4845447900257758,0.4342024827489789,0.47890055207773063,0.44420706506005664,0.4784378685895004,0.44370645669574194,0.48025067766633706,0.4403387276994428,0.8941397813960256,-1.3935283372695513,-2.252233946284745,11.15,1.23,2.21,107.0,-11.96,23.31,193.43,-,1.22,0.41,1.16,3315.294,3028.874,3046.179,0.614303034640377,-0.5680887433076043,0.6482035282843693,0.4036359393918006,0.6572666158116844,0.42221762737571783,0.7054691362851625,0.5042156710258984,0.7054691362851625,0.4036359393918006,0.5219235322949936,0.8707723740760013,0.32999999999999996,0.43,0.25,0.21,0.18999999999999997,0.22,0.35,-0.35,29.804278646473136,28.435597199812513,24.626934276678124,22.464809667708597,28.65375786988458,26.237421875740935,22.060865785211714,22.07721256838308,10.491451672812675,9.229127652175416,4.949455996809884,2.3045085764258686,8.008427334732424,4.6901821871947345,4.57435881653709,2.106607085860198,2.1312889850411554,2.7948955545619687,2.705390604199922,8.851339065381717,6.195894543546695,-1.9706518337269183,5.870382267290892,-3.4733036913872577,1.1505207765885572,2.4830243380802504,-4.064605558505539,1.3686814466606236,1.2623240206372586,-0.6636065695208133,13.281617653333333,-0.6438470645899871,0.14000000000000012,2.3618585742923277,0.22911764622222228,-0.01304809023512424,0.9932097352321001,0.304270221858269,2.0,2.0,7.371561022779808
2020-04-16 00:00:00,1569,濱川,otc,19.9,11.3443686,2257.5293513999995,18306,18306,18306,18306,18306,18306,0.4235636172823228,0.43688401485826195,0.45386940265675074,0.41419434308578446,0.46188218884213617,0.3953604257887037,0.4633454699276961,0.39540450052019643,-8.585786465459817,10.49040015566207,5.478025509338789,19.7,0.86,1.51,108.0,3.37,69.11,241.06,本月較去年同期增加69.12%，主係客戶需求增加所致。,1.01,0.35,2.61,4435.89,3566.179,3591.565,0.49233206430270904,-0.7068227917356396,0.7416475372473167,0.319675662606602,1.4235418212321924,0.39286573166966654,1.478231496520319,0.8370327918330865,1.478231496520319,0.319675662606602,0.5400986746638288,0.33305477894472785,0.6000000000000001,0.16999999999999998,0.13,0.11,0.16999999999999998,0.04999999999999999,0.1,0.03,24.90187676750364,17.548354892229458,18.081567538286556,17.6929896909493,22.235602500333126,17.7273146465441,17.635640525517346,18.04267013739871,10.767958209600316,3.9025971227672,3.02634591650394,4.293763228586665,7.932273031922405,5.6399963111041185,4.3339366356815265,4.889758835912398,-0.37006263343604573,-3.636672149162184,-0.5641298662134516,6.962059557760826,4.259635291848063,-7.384301578087958,4.382083677449964,3.315194343589737,2.6662742671705146,2.8356851776779113,-4.629697925284109,7.353521875274183,6.865361086833116,3.266609515726138,16.599480524999997,-0.6801973493276575,0.8800000000000001,2.6871144951927755,-2.0,-0.339874882166424,1.1342740710711645,1.487942056979339,2.0,2.0,7.169258391749198
2020-04-16 00:00:00,1432,大魯閣,tse,5.12,16.7937642,859.84072704,17352,17352,17352,17352,17352,17352,0.2200602292605728,0.7517077320878425,0.22054565348726285,0.751347354275702,0.22054487343581972,0.7512885884154549,0.2207890116737497,0.7510742231333699,-0.33008092551896684,0.08434705052579973,0.047964208576723164,-,0.77,0.0,107.0,2.62,29.07,107.53,-,-3.04,-1.1,-0.85,1170.45,1020.869,1163.986,0.7158683069514888,-12.29542279718141,1.3602023547866204,0.9326281968473663,2.360640946781614,1.0659897794526036,2.798994364880677,1.7457645265492883,2.798994364880677,0.9326281968473663,-0.23241833200905493,0.2557591097479779,-2.04,-0.31000000000000005,-0.35999999999999993,-0.33,-0.3800000000000001,-0.05999999999999994,-0.33,-0.33,88.47132120784308,85.75479577104603,85.3814582327378,82.38408125327648,84.06123754858797,57.17699954441233,82.27400620445854,77.82929837858724,-24.509424045606778,-15.695427265487929,-19.62957853348969,-11.734511737406288,-34.67962982417603,-5.915171069436042,-32.235288459226126,-32.002219348957944,-167.45337850020908,-47.84829631164257,-23.148582465337654,-23.982967172569943,-51.444984576007336,-3.4378197515926896,-48.265396917009355,-19.881998008530623,4.410083659255108,10.170205778569255,-116.00839392420175,2.716525436797042,-8.813996780118849,-119.60508218856651,0.0,0.8648366640181099,1.06,2.091017848129363,-2.0,2.0,2.0,0.5140385569929535,2.0,-2.0000000000000004,6.529893069140426
2020-04-16 00:00:00,3669,圓展,tse,29.9,9.291995,2778.306505,31355,31355,31391,31391,31391,31391,0.30869841191261943,0.582258879820749,0.27667084409752696,0.5824525949486627,0.2776824675432994,0.5943553133638148,0.2757130304095084,0.5936127387068116,11.963664341187947,-1.9126710304090004,-0.033258522598023255,37.85,1.13,1.67,108.0,2.09,24.43,45.86,-,0.79,0.5,0.47,2141.375,2109.636,1953.812,1.2708790596193975,7.975383506703815,0.8960583585313174,0.6964521382289417,0.9998326085637521,0.6959187319518628,1.2151142087877442,0.882206206380143,1.2151142087877442,0.6959187319518628,0.8261888942907563,1.045892682702877,0.5700000000000001,0.36,0.49,-0.63,0.27,0.21000000000000002,0.22999999999999998,-0.21,54.296170272120456,49.209874841630395,50.843513156755435,38.154757293253795,48.1161578266745,44.72942859727168,44.39714991561116,50.59016062128916,8.805235753915161,6.32753925887444,7.125552431759989,-12.347743373877712,6.082426456189739,4.469587955235048,3.8249953021534235,-6.661211573014046,9.14476690727496,5.935083041332478,8.165829367722965,-12.339350429116202,5.1234923349250945,3.1299285438234397,5.303136092736353,-6.107404550238209,6.1800124454459535,2.722809297725422,4.021274572349865,5.086295430490061,2.477696495040721,3.2096838659424813,10.484175490566038,-1.2523777885815126,0.3400000000000003,0.6109891743482733,0.6021099345911949,1.6197446848080304,1.0891237190901688,0.34603654123324046,1.1465,2.0,6.5021262654893945
2020-04-16 00:00:00,3287,廣寰科,otc,7.44,4.3970483,327.14039352,17987,17987,17987,17987,17987,17987,0.331985050061879,0.5395530906494704,0.331985050061879,0.5395530906494704,0.331985050061879,0.5395530906494704,0.331985050061879,0.5395530906494704,0.0,0.0,0.0,33.82,0.85,0.0,108.0,5.21,24.57,19.22,-,0.22,-0.22,-0.49,425.163,351.136,326.163,0.7313439757113539,7.6566011472791295,0.9721507755848933,0.7342840964524193,1.8470467973947415,0.9053659895026428,1.1971250235005197,0.810216372887176,1.8470467973947415,0.7342840964524193,-0.004004064305995647,0.3959531381353814,0.07,0.039999999999999994,0.020000000000000004,0.09,-0.09,-0.26,-0.07999999999999999,0.21,33.07894914567434,28.2064845638196,26.214890771288452,29.156246823218464,21.992999107729418,24.033107599699022,33.19870650905041,41.005840810818796,8.060376848787735,4.747138492407315,-0.785271349248166,3.763342482464166,-5.043780089619265,-17.563444832067855,-14.750358930320557,9.12663626424498,4.899709596812318,4.510009576360071,1.6495764600980831,6.00386296635153,-2.5101238393128535,-18.339147684520146,-8.800837280448697,10.484895643523398,11.085950037944926,13.104156938407,7.409833436125172,4.872464581854743,3.3132383563804204,0.3897000204522474,27.26169946,0.4080081286119913,0.9000000000000001,2.049749398103056,-2.0,0.20526327637828956,2.0,0.3581334971318022,0.4804999999999999,2.0,6.40165430022514
2020-04-16 00:00:00,2643,捷迅,otc,37.15,3.0,1114.5,12063,12063,12063,11232,11232,11232,0.32630706666666665,0.6013353666666666,0.3252737333333333,0.6022353666666667,0.3236737333333333,0.6039353666666667,0.3225070666666667,0.6051020333333333,1.1782687552479376,-0.6224845495754181,-0.14944323263202774,8.08,1.41,5.38,108.0,23.77,47.81,100.93,-,4.6,2.81,2.17,3217.339,2723.361,2661.664,0.2798774178385465,2.317986041814435,0.39629022617759585,0.2732071441647896,0.398771958620249,0.29302027898614985,0.6402010171080947,0.3460241412890583,0.6402010171080947,0.2732071441647896,0.024414711753414586,0.4371711546207847,1.7499999999999996,1.55,0.75,0.55,0.9200000000000002,0.8299999999999998,0.6400000000000001,0.42,11.57257488208751,11.584460855860447,11.088491688065954,11.17342726969103,10.950180064831333,11.173272813638043,9.649366476101722,9.650501193010024,6.312452783959818,5.8161455923847845,3.9419741406496374,3.351681591036556,4.103453007942038,3.864141494109299,2.836520367748526,2.348990046979801,2.859097127222982,4.0046418942154425,3.2621243861783125,2.744361612966242,3.8544399337563937,3.1775772183224547,5.639288637191826,0.2518040050360801,0.6223948172561773,2.20899977601778,-0.9953428065334116,-0.01188597377293732,0.4963071915750339,-1.1455447669924603,0.0,0.35117057649317085,-0.10999999999999988,3.2536602190972093,-2.0,-1.2284950078608328,0.883599910407112,0.998880034895464,2.0,2.0,6.148815733032123
